tenure,MonthlyCharges,TotalCharges,gender,PaymentMethod,Contract
185,1,24.8,24.8,Female,Electronic check,Month-to-month
2715,41,25.25,996.45,Male,Bank transfer (automatic),Month-to-month
3825,52,19.35,1031.7,Female,Mailed check,Two year
1807,1,76.35,76.35,Female,Electronic check,Month-to-month
132,67,50.55,3260.1,Male,Bank transfer (automatic),Two year
1263,68,89.6,6127.6,Female,Bank transfer (automatic),Month-to-month
3732,23,77.15,1759.4,Female,Bank transfer (automatic),Two year
1672,72,72.1,5016.65,Male,Credit card (automatic),Two year
811,70,104.0,7250.15,Male,Credit card (automatic),Two year
2526,1,19.4,19.4,Male,Mailed check,Month-to-month
2892,1,20.45,20.45,Male,Mailed check,Month-to-month
4129,34,84.05,2909.95,Male,Mailed check,Month-to-month
2622,28,51.0,1381.8,Male,Electronic check,One year
3801,18,85.45,1505.85,Female,Electronic check,Month-to-month
4357,15,20.45,330.8,Female,Credit card (automatic),Month-to-month
6179,11,95.15,997.65,Female,Bank transfer (automatic),Month-to-month
5275,11,53.75,608.0,Male,Electronic check,Month-to-month
4640,1,70.0,70.0,Male,Electronic check,Month-to-month
833,37,88.8,3340.55,Female,Electronic check,Month-to-month
5194,22,89.4,2001.5,Male,Electronic check,Month-to-month
3328,1,70.25,70.25,Female,Electronic check,Month-to-month
101,1,19.45,19.45,Female,Electronic check,Month-to-month
6298,46,80.0,3769.7,Male,Bank transfer (automatic),Month-to-month
1090,51,107.45,5680.9,Female,Bank transfer (automatic),One year
1744,41,104.45,4162.05,Female,Bank transfer (automatic),One year
6486,5,67.95,350.3,Female,Bank transfer (automatic),Month-to-month
6370,45,89.3,4016.85,Female,Credit card (automatic),Month-to-month
1882,29,60.2,1834.15,Male,Mailed check,Month-to-month
3469,15,91.5,1400.3,Female,Electronic check,Month-to-month
2310,72,63.7,4464.8,Male,Bank transfer (automatic),Two year
6185,50,103.95,5231.3,Male,Electronic check,One year
2726,27,20.6,581.85,Male,Mailed check,Two year
696,72,85.15,6316.2,Male,Bank transfer (automatic),Two year
1483,51,69.75,3562.5,Female,Credit card (automatic),One year
1158,60,94.1,5475.9,Female,Credit card (automatic),Month-to-month
3032,17,19.45,369.05,Male,Credit card (automatic),Two year
7037,72,21.15,1419.4,Female,Bank transfer (automatic),Two year
4645,33,104.4,3409.6,Female,Electronic check,Month-to-month
6112,66,104.9,6891.45,Female,Electronic check,One year
4395,69,103.95,7446.9,Female,Electronic check,Month-to-month
1662,5,69.75,324.6,Male,Electronic check,Month-to-month
1345,57,100.75,5985.0,Female,Credit card (automatic),One year
4343,8,75.75,606.25,Female,Electronic check,Month-to-month
6119,14,51.45,727.85,Female,Credit card (automatic),One year
2873,25,94.7,2362.1,Male,Bank transfer (automatic),Month-to-month
1084,52,19.6,1012.4,Female,Credit card (automatic),One year
177,7,76.45,503.6,Female,Bank transfer (automatic),Month-to-month
5556,13,79.8,973.45,Male,Electronic check,Month-to-month
4810,15,89.85,1424.95,Female,Electronic check,Month-to-month
6608,22,55.15,1193.05,Male,Credit card (automatic),One year
393,19,19.9,367.55,Female,Mailed check,Month-to-month
6006,23,30.35,678.75,Male,Bank transfer (automatic),Month-to-month
3107,72,113.65,8182.75,Female,Bank transfer (automatic),Two year
1817,72,98.35,6929.4,Male,Bank transfer (automatic),Two year
1075,59,96.65,5580.8,Female,Bank transfer (automatic),Month-to-month
2653,70,75.35,5437.75,Female,Credit card (automatic),Two year
2164,70,101.1,6994.8,Male,Credit card (automatic),Two year
3872,9,103.1,970.45,Male,Electronic check,Month-to-month
1317,3,24.6,86.35,Female,Mailed check,Month-to-month
3254,17,101.8,1752.45,Male,Electronic check,Month-to-month
3425,28,70.4,1992.2,Female,Bank transfer (automatic),One year
3658,10,54.25,583.0,Female,Electronic check,Month-to-month
3513,11,20.95,267.35,Male,Bank transfer (automatic),Month-to-month
2177,72,102.65,7550.3,Male,Credit card (automatic),Two year
3593,8,70.1,551.35,Male,Mailed check,Month-to-month
4852,69,20.3,1356.3,Male,Credit card (automatic),Two year
1375,39,19.85,854.8,Female,Bank transfer (automatic),Two year
2533,67,50.9,3281.65,Male,Credit card (automatic),Two year
3914,39,19.9,791.15,Male,Mailed check,One year
3012,54,65.65,3566.7,Male,Credit card (automatic),Two year
6633,1,74.5,74.5,Female,Electronic check,Month-to-month
321,72,60.0,4264.0,Female,Electronic check,Two year
742,10,98.55,1008.55,Male,Electronic check,Month-to-month
1149,13,96.65,1162.85,Male,Mailed check,Month-to-month
1188,35,99.25,3532.0,Female,Electronic check,One year
